metric,resnet18,densenet121,hybrid,simple_cnn
accuracy,0.89,0.91,0.79,0.47
precision,0.89,0.91,0.78,0.47
recall,0.89,0.91,0.78,0.47
f1_score,0.89,0.91,0.78,0.45
