seed,model,accuracy,precision,recall,f1,train_seconds
42,hybrid,0.6717,0.6627,0.6731,0.6549,7697.9
123,hybrid,0.7094,0.7127,0.7111,0.6981,7525.8
456,hybrid,0.6541,0.6296,0.6557,0.6324,7348.2
