metric,resnet18,densenet121,hybrid,linear_head,simple_cnn
accuracy,1.00,0.99,0.99,0.99,0.74
precision,1.00,0.99,0.99,0.99,0.76
recall,1.00,0.99,0.99,0.99,0.74
f1_score,1.00,0.99,0.99,0.99,0.74
