seed,model,accuracy,precision,recall,f1,train_seconds
42,hybrid,0.6730,0.6823,0.6745,0.6414,8134.9
123,hybrid,0.7333,0.7323,0.7348,0.7288,6956.8
456,hybrid,0.7572,0.7630,0.7581,0.7508,3503.8
