model,accuracy_mean,accuracy_std,f1_mean,f1_std,train_seconds_mean
densenet121_ft,0.9781,0.0031,0.9780,0.0032,170.6
hybrid,0.9010,0.0266,0.8993,0.0279,239.9
linear_head,0.9135,0.0079,0.9137,0.0074,36.9
mlp_head,0.7198,0.2009,0.6886,0.2515,73.1
mlp_leaky_head,0.7427,0.1947,0.7132,0.2409,38.6
mlp_tanh_head,0.9042,0.0119,0.9029,0.0125,42.6
resnet18_ft,0.9667,0.0065,0.9667,0.0066,63.7
simple_cnn,0.8666,0.0208,0.8644,0.0216,55.7
