seed,model,accuracy,precision,recall,f1,train_seconds
42,linear_head,0.9062,0.9075,0.9062,0.9067,41.2
42,resnet18_ft,0.9594,0.9595,0.9594,0.9593,65.3
42,densenet121_ft,0.9781,0.9781,0.9781,0.9780,171.1
42,simple_cnn,0.8531,0.8561,0.8531,0.8495,46.8
42,hybrid,0.8750,0.8881,0.8750,0.8714,254.4
123,linear_head,0.9125,0.9187,0.9125,0.9130,33.5
123,resnet18_ft,0.9688,0.9694,0.9688,0.9688,62.0
123,densenet121_ft,0.9812,0.9813,0.9812,0.9812,170.0
123,simple_cnn,0.8562,0.8555,0.8562,0.8545,60.3
123,hybrid,0.9000,0.8992,0.9000,0.8995,231.8
456,linear_head,0.9219,0.9219,0.9219,0.9215,35.9
456,resnet18_ft,0.9719,0.9724,0.9719,0.9719,63.8
456,densenet121_ft,0.9750,0.9759,0.9750,0.9749,170.6
456,simple_cnn,0.8906,0.8910,0.8906,0.8892,60.0
456,hybrid,0.9281,0.9296,0.9281,0.9271,233.6
42,mlp_head,0.7562,0.8104,0.7562,0.7571,72.8
123,mlp_head,0.9000,0.9009,0.9000,0.8988,71.9
456,mlp_head,0.5031,0.4282,0.5031,0.4100,74.7
42,mlp_tanh_head,0.8906,0.8962,0.8906,0.8886,51.0
42,mlp_leaky_head,0.8031,0.8119,0.8031,0.7999,38.0
123,mlp_tanh_head,0.9125,0.9141,0.9125,0.9119,37.9
123,mlp_leaky_head,0.9000,0.9009,0.9000,0.8988,38.7
456,mlp_tanh_head,0.9094,0.9098,0.9094,0.9083,38.9
456,mlp_leaky_head,0.5250,0.4628,0.5250,0.4409,39.0
