seed,model,accuracy,precision,recall,f1,train_seconds
42,hybrid,0.6340,0.6546,0.6356,0.6129,3898.5
123,hybrid,0.6792,0.6678,0.6810,0.6343,2026.0
456,hybrid,0.6855,0.7077,0.6869,0.6551,4340.7
